a,b,theta,A1,A2,status
7.9,6.1,28.5,2,-6,NotYet
7.9,6.1,27,2,-6,NotYet
7.9,6.1,30,2,-6,NotYet
7.9,6.1,25.5,2,-6,NotYet
7.9,6.1,31.5,2,-6,NotYet
